record_id,order_id,customer_id,service_type,issue_category,conversation_log,conversation_log_vec,service_agent,created_date,resolved_date,resolution_status,product_name
"CS001","O002","C002","订单取消","客户主动取消","Customer: 你好，我想取消订单O002，不需要这个商品了\nAgent: 您好，我来帮您处理订单取消。请稍等，我查看一下订单状态\nAgent: 您的订单还未发货，可以取消。我现在为您处理取消手续\nCustomer: 好的，谢谢。退款什么时候能到账？\nAgent: 退款会在1-3个工作日内原路返回到您的支付账户",,"客服小王","2024-01-16 15:30:00","2024-01-16 16:00:00","已解决","品牌:TechZen 类型:平板电脑 商品名:TabletMax Pro 12.9寸"
"CS002","O003","C003","退货申请","产品质量问题","Customer: 我买的SoundBuds Pro连接不稳定，经常断连，我要退货\nAgent: 您好，很抱歉给您带来不好的体验。请问具体是什么情况？\nCustomer: 和手机连接后经常自动断开，音质也不好\nAgent: 我理解您的困扰。我们支持7天无理由退货，我来为您办理退货手续\nCustomer: 需要我自己承担运费吗？\nAgent: 由于是产品质量问题，运费由我们承担。我安排快递员上门取件",,"客服小李","2024-01-22 10:15:00","2024-01-23 14:30:00","处理中","品牌:TechZen 类型:蓝牙耳机 商品名:SoundBuds Pro 2"
"CS003","O004","C004","换货申请","产品功能异常","Customer: 我的PowerBook键盘有几个键按不了，才买3天\nAgent: 您好，很抱歉出现这个问题。请问是哪几个按键？\nCustomer: 空格键和回车键经常失灵，影响正常使用\nAgent: 这确实影响使用体验。我为您申请换货，换一台全新的\nCustomer: 换货要多久？我工作急需用\nAgent: 我们会优先处理，明天安排取件，后天新机器就能送到",,"客服小张","2024-01-25 09:20:00","2024-01-26 11:45:00","已解决","品牌:TechZen 类型:笔记本电脑 商品名:PowerBook Pro 14寸"
"CS004","O007","C007","退款申请","产品质量问题","Customer: Sony耳机用了两天就出现杂音，我要退款\nAgent: 您好，请问具体是什么故障？\nCustomer: 左耳机有明显的电流声，右耳机声音很小\nAgent: 我来帮您处理。请问您还保留购买凭证和包装吗？\nCustomer: 都在，发票和盒子都没扔\nAgent: 好的，我现在为您登记退款申请，需要1-2个工作日审核",,"客服小陈","2024-02-03 13:40:00","","处理中","品牌:AudioMax 类型:蓝牙耳机 商品名:AudioMax WX-2000"
"CS005","O005","C005","物流咨询","配送延迟","Customer: 我的手机怎么还没到？已经3天了\nAgent: 您好，我来帮您查询物流信息\nAgent: 您的包裹目前在杭州转运中心，预计明天能送达\nCustomer: 为什么这么慢？\nAgent: 最近快递量比较大，给您造成不便很抱歉",,"客服小刘","2024-01-24 16:10:00","2024-01-24 16:20:00","已解决","品牌:FlashTech 类型:智能手机 商品名:FlashMobile Ultra 512GB"
"CS006","O003","C003","退货跟进","退货流程","Customer: 我的退货处理得怎么样了？\nAgent: 您好，我查看一下退货进度\nAgent: 您的退货商品我们已经收到，正在质检\nCustomer: 什么时候能退款？\nAgent: 质检通过后3-5个工作日内退款会到账",,"客服小王","2024-01-28 14:25:00","2024-01-28 14:40:00","已解决","品牌:TechZen 类型:蓝牙耳机 商品名:SoundBuds Pro 2"
"CS007","O004","C004","换货跟进","物流查询","Customer: 我的换货商品发了吗？\nAgent: 您好，我来查询一下\nAgent: 您的换货商品已经发出，快递单号是YD1111222233\nCustomer: 什么时候能到？\nAgent: 预计明天下午能送达，请保持电话畅通",,"客服小李","2024-01-30 10:30:00","2024-01-30 10:45:00","已解决","品牌:TechZen 类型:笔记本电脑 商品名:PowerBook Pro 14寸"
"CS008","O011","C010","退货申请","产品不满意","Customer: FlashMobile手机系统太卡了，我要退货\nAgent: 您好，请问具体是什么情况？\nCustomer: 打开应用很慢，经常卡死，和宣传不符\nAgent: 我理解您的困扰。请问您试过重启或恢复出厂设置吗？\nCustomer: 试过了，没有改善，我就要退货\nAgent: 好的，我为您办理退货手续，快递员明天上门取件",,"客服小王","2024-02-10 14:20:00","2024-02-10 15:30:00","已解决","品牌:FlashTech 类型:智能手机 商品名:FlashMobile Ultra 512GB"
"CS009","O013","C012","换货申请","屏幕问题","Customer: TabletMax屏幕有亮点，影响使用\nAgent: 您好，请问亮点在什么位置？大小如何？\nCustomer: 屏幕中央有个白点，很明显，看视频很影响\nAgent: 这确实影响使用体验。我为您申请换货，换一台全新的\nCustomer: 需要多久？\nAgent: 2-3个工作日，我们会优先处理",,"客服小张","2024-02-15 10:45:00","2024-02-15 11:20:00","已解决","品牌:TechZen 类型:平板电脑 商品名:TabletMax Pro 12.9寸"
"CS010","O015","C014","退款申请","产品缺陷","Customer: 笔记本键盘多个按键失灵，要求退款\nAgent: 您好，请问是哪些按键失灵？\nCustomer: W、A、S、D这几个按键都按不了，游戏都玩不了\nAgent: 这确实很影响使用。请问您是什么时候购买的？\nCustomer: 上周买的，才用了几天\nAgent: 我为您登记退款申请，由于是质量问题，全额退款",,"客服小陈","2024-02-20 16:30:00","","处理中","品牌:ProTech 类型:笔记本电脑 商品名:BusinessLaptop X1"
"CS011","O009","C008","物流咨询","配送延迟","Customer: 我的iPhone为什么还没到？\nAgent: 您好，我来帮您查询物流信息\nAgent: 您的包裹目前在西安转运中心，预计今天晚上能送达\nCustomer: 好的，谢谢",,"客服小刘","2024-02-06 14:15:00","2024-02-06 14:25:00","已解决","品牌:TechZen 类型:智能手机 商品名:ZenPhone Pro 256GB"
"CS012","O016","C015","产品咨询","使用问题","Customer: 华为平板怎么连接蓝牙耳机？\nAgent: 您好，我来教您连接步骤\nAgent: 请打开设置-蓝牙，确保蓝牙开启，然后点击搜索设备\nCustomer: 找到了，已经连接成功，谢谢\nAgent: 不客气，还有其他问题随时联系我们",,"客服小李","2024-02-22 11:20:00","2024-02-22 11:35:00","已解决","品牌:DigitalWave 类型:平板电脑 商品名:SmartPad Elite"
"CS013","O010","C009","售后咨询","保修问题","Customer: AirPods保修多久？如果坏了怎么办？\nAgent: 您好，AirPods享受1年全球联保\nAgent: 如果出现非人为损坏，可以免费维修或更换\nCustomer: 那人为损坏呢？\nAgent: 人为损坏需要支付维修费用，具体价格根据损坏程度而定",,"客服小王","2024-02-08 15:40:00","2024-02-08 15:55:00","已解决","品牌:TechZen 类型:蓝牙耳机 商品名:SoundBuds Pro 2"
